,Unnamed: 0,Cell,Animal,Receptor,MSE,$R^2$
0,0,Human Monocyte,Human,IL4Ra,13.587464899549655,0.8245828749407687
1,0,Human Monocyte,Human,Gamma,25.706275456060915,0.8491840153249673
2,0,Human Monocyte,Human,IL13Ra,26.07338201329176,0.8499292402716139
3,0,Human Macrophage,Human,Gamma,17.194279143817983,0.8319046944501349
4,0,Human Macrophage,Human,IL13Ra,22.093572692219713,0.8418502421427563
8,0,Human Fibroblast,Human,IL4Ra,1.6433669558692414,0.8003364005112118
9,0,Human Fibroblast,Human,Gamma,3.993121279283546,0.805106393053725
10,0,Human Fibroblast,Human,IL13Ra,4.254180482214924,0.805636342265321
11,0,Human Ramos,Human,IL4Ra,2.426648301877673,0.8019264587321584
12,0,Human Ramos,Human,Gamma,2.426535483450785,0.801926229711171
13,0,Human A549,Human,IL4Ra,2.4264956038045495,0.8019261487556377
14,0,Human A549,Human,Gamma,2.4264892356148633,0.8019261358282364
15,0,Human A549,Human,IL13Ra,2.4264456718160723,0.8019260473938866
